name,sku,image_url,base_price,harga_normal_non_member,harga_normal_member,harga_promo_flash_sale_new_customer,harga_special_non_member,harga_special_member,promo_label,special_label,unit,treatment_sessions,description
2-in-1 Acne Combo,TRT-2-IN-1-ACNE-COMBO,https://files.cekat.ai/2_IN_1_Acne_Combo_aTCxSR.png,689000,689000,,349000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Meso Acne,TRT-MESO-ACNE,https://files.cekat.ai/Meso_Acne_-_Flash_Sale_gVn4VR.png,499000,499000,499000,399000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Laser CO2,TRT-LASER-CO2,https://files.cekat.ai/Laser_CO2_-_flash_sale_X4ySNR.png,1199000,1199000,1099000,599000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
PRP Face,TRT-PRP-FACE,https://files.cekat.ai/PRP_Face_-_flash_sale_X33agE.png,1499000,1499000,1399000,799000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Bye Acne,TRT-BYE-ACNE,https://files.cekat.ai/Bye_Acne_-_flash_sale_6AECZh.png,1197000,1197000,,689000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Acne Laser Facial,TRT-ACNE-LASER-FACIAL,https://files.cekat.ai/Flash_Sale_Nov_Acne_Laser_Facial__FY5NaS.png,1499000,1499000,1399000,749000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Rejuran Scar,TRT-REJURAN-SCAR,https://files.cekat.ai/Rejuran_Scar_-_flash_sale_mJmVJg.png,5499000,5499000,5499000,2899000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Restylance,TRT-RESTYLANCE,https://files.cekat.ai/Restylance_Scar_-_flash_sale_2cgjgM.png,7798000,7798000,7698000,2899000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
60 Days Acne Program,TRT-60-DAYS-ACNE-PROGRAM,https://files.cekat.ai/60_Days_Acne_Program_-_Flash_Sale_1vsZHL.png,3983000,3983000,,2249000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Beard Grow,TRT-BEARD-GROW,https://files.cekat.ai/BAU_Dec_Bread_Grow_lmz030.png,999000,999000,899000,,749000,649000,,Harga Special Bulan ini,,,
30 Days Baby hair Grow,TRT-30-DAYS-BABY-HAIR-GROW,https://files.cekat.ai/30_Days_Baby_hair_Grow_-_flash_sale_N3nCkG.png,954000,954000,,639000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Immune Glow Infusion,TRT-IMMUNE-GLOW-INFUSION,https://files.cekat.ai/Immune_Glow_infusion_-_flash_sale_1T9iB7.png,599000,599000,549000,399000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Skin Bright Facial Basic,TRT-SKIN-BRIGHT-FACIAL-BASIC,https://files.cekat.ai/Skin_Bright_Facial_m9aJSu.png,299000,299000,299000,199000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
30 Days Acne Program,TRT-30-DAYS-ACNE-PROGRAM,https://files.cekat.ai/30_Days_Acne_Program_-_Flash_sale_bdZGpz.png,3045000,3045000,,1449000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
